"tid";"molregno";"disease_efficacy"
105683;674307;1
105683;460466;1
105683;674317;1
105683;674956;1
105683;674709;1
105683;674913;1
105683;61682;1
105683;112665;1
105683;674967;1
105683;506444;1
105683;674561;1
105683;26386;1
105683;1078476;1
105683;674602;1
105683;226400;1
105683;167260;1
105683;674771;1
105683;610112;1
105684;12465;1
105685;674652;1
105685;674295;1
105685;31491;1
105696;1369646;1
105697;421902;1
105698;22641;1
105699;508828;1
105700;674419;1
105701;456266;1
105702;675731;1
105704;431141;1
105704;674702;1
105704;674351;1
105705;126356;1
105705;674531;1
105774;99024;1
105775;99024;1
105830;27340;1
105830;645898;1
105830;421157;1
105830;1359041;1
105830;1418074;1
105830;1673803;1
105830;674680;1
105830;674461;1
105830;1592294;1
105830;1926909;1
105830;674888;1
105830;378124;1
105830;674539;1
105830;373970;1
105830;674425;1
105830;171587;1
105830;503459;1
105830;455284;1
105830;699437;1
105830;674457;1
105830;373985;1
105830;674823;1
105830;1418014;1
105830;675022;1
105830;430250;1
105830;674600;1
105830;1031364;1
105830;1445828;1
105830;674832;1
105830;1592405;1
105830;1449150;1
105830;420999;1
105830;12506;1
105830;674358;1
105830;711939;1
105830;674639;1
105830;570147;1
105830;12428;1
106146;675456;1
106146;675587;1
106146;675367;1
106146;675419;1
106147;675588;1
106148;675569;1
106149;1381313;1
106149;1380774;1
106149;675368;1
106149;675521;1
106149;675549;1
106149;675616;1
106149;675558;1
106149;675613;1
106150;675394;1
106007;8873;1
106007;381643;1
106007;674607;1
106008;675024;1
106009;674345;1
106010;675516;1
106010;675500;1
106010;374037;1
106010;474532;1
106011;1763651;1
106011;1449181;1
106011;674577;1
106012;253862;1
106014;674598;1
106015;674509;1
106015;1369648;1
106018;1355854;1
106018;705121;1
106020;27912;1
106020;98346;1
106020;674820;1
106020;675055;1
106020;70239;1
106020;151310;1
106020;674547;1
106020;674951;1
106020;16592;1
106075;428690;1
106082;428690;1
106132;675786;1
106133;675786;1
106134;699373;1
106145;1377970;1
105574;675570;1
105574;675539;1
105574;675524;1
105574;675685;1
105574;442943;1
105574;674747;1
105574;674952;1
105574;1064511;1
105574;675063;1
105574;674932;1
105574;56644;1
105574;243124;1
105574;699405;1
105574;300022;1
105574;418344;1
105574;386327;1
105574;65415;1
105574;11002;1
105574;1592400;1
105574;28310;1
105574;1063;1
105574;453722;1
105574;13590;1
105574;53686;1
105574;674814;1
105574;467361;1
105574;5772;1
105574;119640;1
105574;674361;1
105574;402531;1
105574;8633;1
105574;418401;1
105574;431141;1
105574;674351;1
105574;674426;1
105574;446279;1
105574;462435;1
105574;581569;1
105574;675080;1
105574;598447;1
105574;10840;1
105574;51182;1
105574;674798;1
105574;674702;1
105574;840903;1
105574;36864;1
105574;368538;1
105574;674927;1
